"","FARMCODE","SEASON_NR","Control_Y_FM","PK_Y_FM","NPK_Y_FM","Control_NS","PK_NS","NPK_NS","Nrec"
"1","F1",0,1.84439719989629,3.16801242236025,6.10136645962731,28.7680051533027,41.3304176876175,80.5119611340013,0.261210289642559
"2","F1",1,1.63901218563651,3.01458074534162,6.03638198757762,26.1212910520168,39.5708801071286,79.7076978660596,0.26757878505954
"3","F1",2,1.43362717137672,2.86114906832298,5.97139751552793,23.4745769507309,37.8113425266397,78.9034345981179,0.273947280476522
"4","F1",3,1.22824215711693,2.70771739130435,5.90641304347824,20.827862849445,36.0518049461508,78.0991713301762,0.280315775893503
"5","F1",4,1.02285714285714,2.55428571428572,5.84142857142855,18.1811487481591,34.2922673656619,77.2949080622346,0.286684271310485
"6","F1",5,0.817472128597356,2.40085403726708,5.77644409937886,15.5344346468731,32.532729785173,76.4906447942929,0.293052766727466
"7","F1",6,0.612087114337569,2.24742236024845,5.71145962732917,12.8877205455872,30.7731922046841,75.6863815263512,0.299421262144447
"8","F1",7,0.406702100077781,2.09399068322982,5.64647515527948,10.2410064443013,29.0136546241951,74.8821182584095,0.305789757561429
"9","F1",8,0.201317085817994,1.94055900621118,5.5814906832298,7.59429234301538,27.2541170437062,74.0778549904678,0.31215825297841
"11","F2",0,1.95296862846772,2.67372670807453,6.25565217391303,30.1671215008727,35.6620035329648,82.4214377959534,0.311729561753257
"21","F2",1,1.74758361420793,2.5202950310559,6.19066770186334,27.5204073995868,33.9024659524759,81.6171745280117,0.318098057170238
"31","F2",2,1.54219859994815,2.36686335403727,6.12568322981365,24.8736932983009,32.142928371987,80.81291126007,0.32446655258722
"41","F2",3,1.33681358568836,2.21343167701863,6.06069875776396,22.2269791970149,30.3833907914981,80.0086479921283,0.330835048004201
"51","F2",4,1.13142857142857,2.06,5.99571428571428,19.580265095729,28.6238532110092,79.2043847241866,0.337203543421183
"61","F2",5,0.926043557168785,1.90656832298137,5.93072981366459,16.9335509944431,26.8643156305203,78.4001214562449,0.343572038838164
"71","F2",6,0.720658542908997,1.75313664596273,5.8657453416149,14.2868368931572,25.1047780500313,77.5958581883032,0.349940534255146
"81","F2",7,0.51527352864921,1.5997049689441,5.80076086956521,11.6401227918713,23.3452404695424,76.7915949203615,0.356309029672127
"91","F2",8,0.309888514389423,1.44627329192547,5.73577639751552,8.99340869058534,21.5857028890535,75.9873316524198,0.362677525089109
"12","F3",0,2.27868291418201,3.01086956521739,5.44850931677017,34.3644705435826,39.5283207020343,72.4320459996309,0.219358168650644
"22","F3",1,2.07329789992222,2.85743788819876,5.38352484472049,31.7177564422967,37.7687831215454,71.6277827316892,0.225726664067625
"32","F3",2,1.86791288566243,2.70400621118012,5.3185403726708,29.0710423410107,36.0092455410565,70.8235194637475,0.232095159484607
"42","F3",3,1.66252787140265,2.55057453416149,5.25355590062111,26.4243282397248,34.2497079605676,70.0192561958058,0.238463654901588
"52","F3",4,1.45714285714286,2.39714285714286,5.18857142857142,23.7776141384389,32.4901703800786,69.2149929278641,0.24483215031857
"62","F3",5,1.25175784288307,2.24371118012422,5.12358695652173,21.130900037153,30.7306327995897,68.4107296599224,0.251200645735551
"72","F3",6,1.04637282862328,2.09027950310559,5.05860248447204,18.4841859358671,28.9710952191008,67.6064663919807,0.257569141152533
"82","F3",7,0.840987814363496,1.93684782608696,4.99361801242235,15.8374718345811,27.2115576386119,66.802203124039,0.263937636569514
