"","Year","Crop","Control","FYM","FYMN","FYMNK","FYMNP","FYMNPK","FYMNPKMg","FYMPK","N","NK","NP","NPK","NPKMg","PK","pred_K_UP_NPK","pred_K_UP_PK","pred_K_UP_NK","pred_K_UP_Control","pred_K_UP_N","pred_K_UP_NP","pred_K_UP_NPKMg","pred_K_UP_FYMNPK","pred_K_UP_FYM","pred_K_UP_FYMPK","pred_K_UP_FYMNK","pred_K_UP_FYMNP","pred_K_UP_FYMNPKMg"
"1",1961,"potato",67.7175417708172,126.579335010816,143.692125031605,178.85423324663,158.709151626083,177.427869790294,176.606774530818,133.367154395028,70.4079004449379,139.641852490818,85.5169197871341,134.254536629766,144.852932309766,83.4620803981867,108.243649393564,65.0141475577336,104.187338955902,63.4349530119554,83.5394820536935,83.5394706346611,108.243649393564,132.336233765395,71.2189329939405,71.2196603038086,128.735238510943,111.512485229314,132.336233765395
"2",1962,"rye",28.1733599784981,38.9169841460228,71.6948842939346,83.0571891194513,78.0850482542132,85.8783746432606,86.6409632051655,44.4395831380227,50.3570525519344,74.2715488818323,56.8291014742132,77.1002640108798,80.4136200689752,34.7252602170704,45.5003453234968,28.2843874272883,45.5003617537022,28.2843882910676,43.7206444222141,43.7206438384665,45.5003453234968,45.500339781706,28.2843934118436,28.2843878485209,45.5004107097383,45.5003705394483,45.500339781706
"3",1963,"oats",33.3348063438764,45.5956080711099,73.1143745187568,96.5263250893439,83.8164014864034,103.556207120521,101.838622586403,51.3495381064036,44.7406958119103,77.4031340481684,53.337865892286,80.7248715999331,86.6191411916978,40.7098145993449,62.798155061601,28.8622162378604,62.8826916453537,28.8622391682752,51.3288781641698,51.3288913575234,62.798155061601,67.9807707710491,28.8622381300084,28.8622229577726,68.0238693447898,61.4864647304959,67.9807707710491
"4",1964,"potato",63.6988496574668,122.560642897466,139.673432918254,174.835541133279,154.690459512732,173.409177676943,172.588082417468,129.348462281678,66.3892083315874,135.623160377468,81.4982276737836,130.235844516415,140.834240196415,79.4433882848363,110.347848568454,64.1026623820105,105.474119228929,62.9008983785639,82.9881497411326,82.9881453533335,110.347848568454,140.244813521174,80.660079372583,80.7096821285126,134.328091621902,116.068888789966,140.244813521174
"5",1965,"rye",26.9962334682976,37.7398576358224,70.5177577837342,81.8800626092509,76.9079217440127,84.7012481330602,85.463836694965,43.2624566278223,49.179926041734,73.0944223716319,55.6519749640128,75.9231375006794,79.2364935587747,33.5481337068699,46.6432849467786,28.5128060400016,46.6432677136966,28.5128063781957,44.2358728800615,44.2358731442226,46.6432849467786,46.6432640232396,28.5128057883839,28.5128053953151,46.6432644484932,46.6432710230856,46.6432640232396
"6",1966,"oats",31.2295468945715,43.490348621805,71.0091150694519,94.421065640039,81.7111420370986,101.450947671216,99.7333631370985,49.2442786570987,42.6354363626054,75.2978745988636,51.2326064429811,78.6196121506282,84.513881742393,38.60455515004,64.6465503936301,29.0152005755837,64.7622526934592,29.0152040323393,51.4090503119427,51.4090615004917,64.6465503936301,70.7553090221196,29.0151943069068,29.0151965087952,70.8170209262931,63.3150384822237,70.7553090221196
"7",1967,"potato",59.6801575441164,118.541950784115,135.654740804904,170.816849019929,150.671767399382,169.390485563593,168.569390304117,125.329770168327,62.370516218237,131.604468264117,77.4795355604332,126.217152403065,136.815548083065,75.4246961714859,111.167040769727,63.1914753671096,105.816055351083,62.121282107965,81.7383582527965,81.738362653468,111.167040769727,146.186399626807,89.7805119585718,90.1996724181769,138.365645843323,118.85908978434,146.186399626807
"8",1968,"rye",25.8191069580969,36.5627311256216,69.3406312735334,80.7029360990501,75.730795233812,83.5241216228595,84.2867101847643,42.0853301176215,48.0027995315333,71.9172958614311,54.4748484538121,74.7460109904786,78.059367048574,32.3710071966692,47.7862049949196,28.7412236316594,47.7862363110688,28.7412238275662,44.5519457057129,44.5519444856905,47.7862049949196,47.7863127474929,28.7412235115218,28.7412235111736,47.7862131810761,47.786231062018,47.7863127474929
"9",1969,"oats",29.1242874452664,41.3850891724999,68.9038556201468,92.3158061907339,79.6058825877935,99.3456882219113,97.6281036877934,47.1390192077936,40.5301769133003,73.1926151495585,49.127346993676,76.5143527013231,82.4086222930879,36.4992957007349,66.2236687921333,29.1681708658067,66.3724081039666,29.168183379718,51.2377820193861,51.2377928801883,66.2236687921333,73.3284587608875,29.1681709144628,29.1681674014027,73.4239155043315,64.6802600663483,73.3284587608875
"10",1970,"potato",55.6614654307659,114.523258670765,131.636048691553,166.798156906579,146.653075286031,165.371793450242,164.550698190767,121.311078054977,58.3518241048866,127.585776150767,73.4608434470828,122.198460289715,132.796855969714,71.4060040581355,111.60136725529,62.2801391616182,105.870665377752,61.2726347717133,80.3083074644889,80.3083072304724,111.60136725529,151.105228466161,97.7213583604732,99.6896900189327,141.572581021798,120.642140437551,151.105228466161
