"","time","P_labile","P_stable","P_labile_placed","P_labile_FYM","K_labile","K_stable","K_labile_FYM","N_up","P_up","K_up","PIN","POUT","KIN","KOUT","P_up_labile","P_up_labile_placed","P_up_labile_FYM"
"1",1968,167,1670,0,0,1615,16150,0,0,0,0,0,0,0,0,24.5011039214495,0,0
"2",1968,167,1670,0,0,1615,16150,0,0,0,0,0,0,0,0,24.5011039214495,0,0
"3",1968,167,1670,0,0,1615,16150,0,0,0,0,0,0,0,0,24.5011039214495,0,0
"4",1968.00273972603,166.739318297299,1670.19359681715,0,0,1614.95732800356,16149.7868515389,0,0.46417672508854,0.0670848855466589,0.255820457591248,0,0.0670848855466589,0,0.255820457591248,24.4708102058375,0,0
"5",1968.00273972603,166.739318297299,1675.71712181715,0,40.50585,1614.95732800356,16149.7868515389,324.043125,0.46417672508854,0.0670848855466589,0.255820457591248,46.029375,0.0670848855466589,324.043125,0.255820457591248,23.2200617964714,0,5.64083114722583
"6",1968.00273972603,166.739318297299,1675.71712181715,0,40.50585,1614.95732800356,16149.7868515389,324.043125,0.46417672508854,0.0670848855466589,0.255820457591248,46.029375,0.0670848855466589,324.043125,0.255820457591248,23.2200617964714,0,5.64083114722583
"7",1968.00273972603,166.739318297299,1675.71712181715,0,40.50585,1614.95732800356,16149.7868515389,324.043125,0.46417672508854,0.0670848855466589,0.255820457591248,46.029375,0.0670848855466589,324.043125,0.255820457591248,23.2200617964714,0,5.64083114722583
"8",1968.00273972603,166.739318297299,1675.71712181715,0,40.50585,1614.95732800356,16149.7868515389,324.043125,0.46417672508854,0.0670848855466589,0.255820457591248,46.029375,0.0670848855466589,324.043125,0.255820457591248,23.2200617964714,0,5.64083114722583
"9",1968.00273972603,166.739318297299,1675.71712181715,0,40.50585,1614.95732800356,16149.7868515389,324.043125,0.46417672508854,0.0670848855466589,0.255820457591248,46.029375,0.0670848855466589,324.043125,0.255820457591248,23.2200617964714,0,5.64083114722583
"10",1968.20273972603,149.594653669601,1694.0067891517,0,33.8427018977532,1612.94320505327,16152.0275078869,302.752054534253,34.5115941917322,5.58523028094466,21.3203575255682,46.029375,5.58523028094466,324.043125,21.3203575255682,21.4950771015637,0,4.86281741207217
"11",1968.20273972603,177.594653669601,1701.0067891517,0,33.8427018977532,1702.94320505327,16152.0275078869,302.752054534253,34.5115941917322,5.58523028094466,21.3203575255682,81.029375,5.58523028094466,414.043125,21.3203575255682,24.5924300888193,0,4.68637013130824
"12",1968.20273972603,177.594653669601,1701.0067891517,0,33.8427018977532,1702.94320505327,16152.0275078869,302.752054534253,34.5115941917322,5.58523028094466,21.3203575255682,81.029375,5.58523028094466,414.043125,21.3203575255682,24.5924300888193,0,4.68637013130824
"13",1968.20273972603,177.594653669601,1701.0067891517,0,33.8427018977532,1702.94320505327,16152.0275078869,302.752054534253,34.5115941917322,5.58523028094466,21.3203575255682,81.029375,5.58523028094466,414.043125,21.3203575255682,24.5924300888193,0,4.68637013130824
"14",1968.20273972603,177.594653669601,1701.0067891517,0,33.8427018977532,1702.94320505327,16152.0275078869,302.752054534253,34.5115941917322,5.58523028094466,21.3203575255682,81.029375,5.58523028094466,414.043125,21.3203575255682,24.5924300888193,0,4.68637013130824
"15",1968.20273972603,177.594653669601,1701.0067891517,0,33.8427018977532,1702.94320505327,16152.0275078869,302.752054534253,34.5115941917322,5.58523028094466,21.3203575255682,81.029375,5.58523028094466,414.043125,21.3203575255682,24.5924300888193,0,4.68637013130824
"16",1968.20273972603,177.594653669601,1701.0067891517,0,33.8427018977532,1702.94320505327,16152.0275078869,302.752054534253,34.5115941917322,5.58523028094466,21.3203575255682,81.029375,5.58523028094466,414.043125,21.3203575255682,24.5924300888193,0,4.68637013130824
"17",1969,119.283725775429,1757.03463037226,0,16.4694541568963,1675.33036884807,16166.7396549724,230.952513014796,169.503915673937,25.2415646954183,106.020588164757,81.029375,25.2415646954183,414.043125,106.020588164757,12.3672412443643,0,1.70753982906938
"18",1969,119.283725775429,1757.03463037226,0,16.4694541568963,1675.33036884807,16166.7396549724,230.952513014796,0,0,0,81.029375,25.2415646954183,414.043125,106.020588164757,12.3672412443643,0,1.70753982906938
"19",1969,119.283725775429,1757.03463037226,0,16.4694541568963,1675.33036884807,16166.7396549724,230.952513014796,0,0,0,81.029375,25.2415646954183,414.043125,106.020588164757,12.3672412443643,0,1.70753982906938
"20",1969.00273972603,119.163033652311,1757.15557516128,0,16.430660948541,1675.07333694729,16166.7523598629,230.71365403316,0.298576120370459,0.0385405424502519,0.483185991866879,81.029375,25.2801052378686,414.043125,106.503774156624,12.3561011158758,0,1.70370711334191
"21",1969.00273972603,119.163033652311,1762.69823116128,0,57.076804948541,1675.07333694729,16166.7523598629,532.74510403316,0.298576120370459,0.0385405424502519,0.483185991866879,127.218175,25.2801052378686,716.074575,106.503774156624,11.9472077034539,0,5.72248307943708
"22",1969.00273972603,119.163033652311,1762.69823116128,0,57.076804948541,1675.07333694729,16166.7523598629,532.74510403316,0.298576120370459,0.0385405424502519,0.483185991866879,127.218175,25.2801052378686,716.074575,106.503774156624,11.9472077034539,0,5.72248307943708
"23",1969.00273972603,119.163033652311,1762.69823116128,0,57.076804948541,1675.07333694729,16166.7523598629,532.74510403316,0.298576120370459,0.0385405424502519,0.483185991866879,127.218175,25.2801052378686,716.074575,106.503774156624,11.9472077034539,0,5.72248307943708
"24",1969.00273972603,119.163033652311,1762.69823116128,0,57.076804948541,1675.07333694729,16166.7523598629,532.74510403316,0.298576120370459,0.0385405424502519,0.483185991866879,127.218175,25.2801052378686,716.074575,106.503774156624,11.9472077034539,0,5.72248307943708
"25",1969.00273972603,119.163033652311,1762.69823116128,0,57.076804948541,1675.07333694729,16166.7523598629,532.74510403316,0.298576120370459,0.0385405424502519,0.483185991866879,127.218175,25.2801052378686,716.074575,106.503774156624,11.9472077034539,0,5.72248307943708
"26",1969.20273972603,111.212325809794,1776.26490022625,0,48.0754498462619,1654.57822479309,16183.0850352672,493.215102573466,22.8238963361132,3.42393442227738,44.1756242015157,127.218175,28.6654991176957,716.074575,150.196212366273,11.3206738223523,0,4.89376049470641
"27",1969.20273972603,139.212325809794,1783.26490022625,0,48.0754498462619,1744.57822479309,16183.0850352672,493.215102573466,22.8238963361132,3.42393442227738,44.1756242015157,162.218175,28.6654991176957,806.074575,150.196212366273,13.8101758695797,0,4.76919276740741
