"","Dataset","Season","Crop","Treatment","Measured_N_Uptake.kg.ha","Measured_P_Uptake.kg.ha","Measured_K_Uptake.kg.ha","Predicted_N_Uptake.kg.ha","Predicted_P_Uptake.kg.ha","Predicted_K_Uptake.kg.ha","P_labile","P_stable","P_labile_placed","P_labile_FYM","K_labile","K_stable","K_labile_FYM","cols","pchs"
"1","Hanninghof_LMpred_FYM_Hanninghof_",1961,"potato","NPK",73.2371204189985,10.3802574196413,134.254536629766,63.2757163137298,10.1936233083802,108.243649393564,1054.38238272954,4681.04089691552,0,0,948.351290977932,9404.73152938936,0,"green",1
"2","Hanninghof_LMpred_FYM_Hanninghof_",1962,"rye","NPK",84.4353108545791,17.6771642946993,77.1002640108798,48.500327030625,13.246603146555,45.5003453234968,1054.38238272954,4681.04089691552,0,0,948.351290977932,9404.73152938936,0,"green",1
"3","Hanninghof_LMpred_FYM_Hanninghof_",1963,"oats","NPK",62.4493447069158,16.4993892211956,80.7248715999331,49.5175162870423,14.1148087625865,62.798155061601,1054.38238272954,4681.04089691552,0,0,948.351290977932,9404.73152938936,0,"green",1
"4","Hanninghof_LMpred_FYM_Hanninghof_",1964,"potato","NPK",72.8725858872107,10.0364297140372,130.235844516415,63.1129171458325,10.4289166795727,110.347848568454,1069.36249485861,4695.46716147806,0,0,948.560719191631,9429.0784517821,0,"green",1
"5","Hanninghof_LMpred_FYM_Hanninghof_",1965,"rye","NPK",84.6637289704804,17.6447641733118,75.9231375006794,49.6432659010422,13.5875348191968,46.6432849467786,1069.36249485861,4695.46716147806,0,0,948.560719191631,9429.0784517821,0,"green",1
"6","Hanninghof_LMpred_FYM_Hanninghof_",1966,"oats","NPK",62.5513287121681,16.1714659333033,78.6196121506282,51.3704081924188,14.5307918730181,64.6465503936301,1069.36249485861,4695.46716147806,0,0,948.560719191631,9429.0784517821,0,"green",1
"7","Hanninghof_LMpred_FYM_Hanninghof_",1967,"potato","NPK",72.508051355423,9.69260200843311,126.217152403065,62.8889059805009,10.5956684823946,111.167040769727,1079.86936549524,4711.31368769488,0,0,977.223831971435,9454.5149936788,0,"green",1
"8","Hanninghof_LMpred_FYM_Hanninghof_",1968,"rye","NPK",84.8921470863818,17.6123640519243,74.7460109904786,50.7862021728156,13.9092330331624,47.7862049949196,1079.86936549524,4711.31368769488,0,0,977.223831971435,9454.5149936788,0,"green",1
"9","Hanninghof_LMpred_FYM_Hanninghof_",1969,"oats","NPK",62.6533127174204,15.8435426454109,76.5143527013231,53.2139052879997,14.8929353790202,66.2236687921333,1079.86936549524,4711.31368769488,0,0,977.223831971435,9454.5149936788,0,"green",1
"10","Hanninghof_LMpred_FYM_Hanninghof_",1970,"potato","NPK",72.1435168236352,9.348774302829,122.198460289715,62.6314817135497,10.7234627858114,111.60136725529,1088.59408298849,4728.07416143905,0,0,983.736440835798,9484.80422975284,0,"green",1
"11","Hanninghof_LMpred_FYM_Hanninghof_",1971,"rye","NPK",85.1205652022831,17.5799639305367,73.5688844802781,51.9291396681443,14.2186448477564,48.9291396801451,1088.59408298849,4728.07416143905,0,0,983.736440835798,9484.80422975284,0,"green",1
"12","Hanninghof_LMpred_FYM_Hanninghof_",1972,"oats","NPK",62.7552967226728,15.5156193575185,74.4090932520182,55.0483980843704,15.2208407382476,67.6684735646335,1088.59408298849,4728.07416143905,0,0,983.736440835798,9484.80422975284,0,"green",1
"13","Hanninghof_LMpred_FYM_Hanninghof_",1973,"potato","NPK",71.7789822918474,9.00494659722493,118.179768176364,62.3542187486856,10.8285337160376,111.906925122581,1100.04041773229,4745.79891001568,0,0,974.298735551199,9516.69408646899,0,"green",1
"14","Hanninghof_LMpred_FYM_Hanninghof_",1974,"rye","NPK",85.3489833181844,17.5475638091492,72.3917579700775,53.0720830558816,14.5193209056448,50.0721034179287,1100.04041773229,4745.79891001568,0,0,974.298735551199,9516.69408646899,0,"green",1
"15","Hanninghof_LMpred_FYM_Hanninghof_",1975,"oats","NPK",62.8572807279251,15.1876960696261,72.3038338027134,56.874141873461,15.5261243558072,69.0284753066608,1100.04041773229,4745.79891001568,0,0,974.298735551199,9516.69408646899,0,"green",1
"16","Hanninghof_LMpred_FYM_Hanninghof_",1976,"potato","NPK",71.4144477600596,8.66111889162085,114.161076063013,62.0641190237341,10.9198319623645,112.158250230948,1107.50592359901,4764.34586932976,0,0,997.078543403458,9546.87099366995,0,"green",1
"17","Hanninghof_LMpred_FYM_Hanninghof_",1977,"rye","NPK",85.5774014340858,17.5151636877616,71.2146314598769,54.2150686001478,14.8133312517847,51.2152303435524,1107.50592359901,4764.34586932976,0,0,997.078543403458,9546.87099366995,0,"green",1
"18","Hanninghof_LMpred_FYM_Hanninghof_",1978,"oats","NPK",62.9592647331775,14.8597727817337,70.1985743534085,58.6915639983263,15.8156691240788,70.3224177333539,1107.50592359901,4764.34586932976,0,0,997.078543403458,9546.87099366995,0,"green",1
"19","Hanninghof_LMpred_FYM_Hanninghof_",1979,"potato","NPK",76.1343307530073,11.442192073904,117.892877826493,79.3275996043129,11.6128697415806,119.368877302503,1113.62389668953,4783.29710436622,0,0,998.924651141303,9579.97833553847,0,"green",1
"20","Hanninghof_LMpred_FYM_Hanninghof_",1980,"rye","NPK",90.8902370747226,20.6076644542612,77.7879988265063,91.3993167989711,19.2749921290529,74.7108501968942,1113.62389668953,4783.29710436622,0,0,998.924651141303,9579.97833553847,0,"green",1
"21","Hanninghof_LMpred_FYM_Hanninghof_",1981,"oats","NPK",68.1456662631654,17.6567503817285,75.8438087809334,66.047437810182,16.4559229571479,73.4032867117649,1113.62389668953,4783.29710436622,0,0,998.924651141303,9579.97833553847,0,"green",1
"22","Hanninghof_LMpred_FYM_Hanninghof_",1982,"potato","NPK",75.7697962212196,11.0983643682999,113.874185713143,79.0953138659054,11.6848157400508,119.026392561471,1123.12309568388,4802.80223688949,0,0,987.103418141792,9613.43252776824,0,"green",1
"23","Hanninghof_LMpred_FYM_Hanninghof_",1983,"rye","NPK",91.118655190624,20.5752643328737,76.6108723163058,93.6540677391228,19.5324328084358,75.319253550314,1123.12309568388,4802.80223688949,0,0,987.103418141792,9613.43252776824,0,"green",1
"24","Hanninghof_LMpred_FYM_Hanninghof_",1984,"oats","NPK",68.2476502684177,17.3288270938361,73.7385493316285,67.8056514766859,16.6749025929764,74.0478596572133,1123.12309568388,4802.80223688949,0,0,987.103418141792,9613.43252776824,0,"green",1
"25","Hanninghof_LMpred_FYM_Hanninghof_",1985,"potato","NPK",75.4052616894318,10.7545366626958,109.855493599792,78.8657366887506,11.763678906304,119.383840054261,1128.82179889521,4822.794300645,0,0,1007.94565502811,9644.40408588701,0,"green",1
"26","Hanninghof_LMpred_FYM_Hanninghof_",1986,"rye","NPK",91.3470733065253,20.5428642114862,75.433745806105,95.9032310683206,19.7947890751877,76.1332275480986,1128.82179889521,4822.794300645,0,0,1007.94565502811,9644.40408588701,0,"green",1
"27","Hanninghof_LMpred_FYM_Hanninghof_",1987,"oats","NPK",68.34963427367,17.0009038059437,71.6332898823237,69.5587434936506,16.8967359093235,74.8303724190841,1128.82179889521,4822.794300645,0,0,1007.94565502811,9644.40408588701,0,"green",1
"28","Hanninghof_LMpred_FYM_Hanninghof_",1988,"potato","NPK",75.040727157644,10.4107089570917,105.836801486442,78.6345638227462,11.8456053379232,119.936810665102,1133.4245064698,4842.89865769139,0,0,1008.06223996246,9677.66383216053,0,"green",1
"29","Hanninghof_LMpred_FYM_Hanninghof_",1989,"rye","NPK",91.5754914224266,20.5104640900986,74.2566192959045,98.1460293522223,20.0582868955567,76.982433982711,1133.4245064698,4842.89865769139,0,0,1008.06223996246,9677.66383216053,0,"green",1
"30","Hanninghof_LMpred_FYM_Hanninghof_",1990,"oats","NPK",68.4516182789224,16.6729805180513,69.5280304330186,71.3061285867178,17.11860800986,75.6268481368665,1133.4245064698,4842.89865769139,0,0,1008.06223996246,9677.66383216053,0,"green",1
"31","Hanninghof_LMpred_FYM_Hanninghof_",1991,"potato","NPK",74.6761926258562,10.0668812514877,101.818109373092,78.3996645997902,11.9284831637073,120.536606721544,1141.87142386754,4863.32827750783,0,0,995.978418698557,9710.94628616915,0,"green",1
"32","Hanninghof_LMpred_FYM_Hanninghof_",1992,"rye","NPK",91.803909538328,20.478063968711,73.0794927857041,100.38192712126,20.3207808041332,77.817743842714,1141.87142386754,4863.32827750783,0,0,995.978418698557,9710.94628616915,0,"green",1
"33","Hanninghof_LMpred_FYM_Hanninghof_",1993,"oats","NPK",68.5536022841747,16.3450572301589,67.4227709837137,73.0474176261573,17.339012990791,76.4026849869168,1141.87142386754,4863.32827750783,0,0,995.978418698557,9710.94628616915,0,"green",1
"34","Hanninghof_LMpred_FYM_Hanninghof_",1994,"potato","NPK",74.3116580940685,9.72305354588357,97.7994172597408,78.1598917252774,12.0110909099346,120.95370407267,1146.52326065263,4884.05779587499,0,0,1016.02660449464,9741.56896069293,0,"green",1
"35","Hanninghof_LMpred_FYM_Hanninghof_",1995,"rye","NPK",92.0323276542293,20.4456638473235,71.9023662755035,102.610771864692,20.581157893183,78.6331964297679,1146.52326065263,4884.05779587499,0,0,1016.02660449464,9741.56896069293,0,"green",1
