"","Year","Crop","Control","FYM","FYMNPK","N","N1PKMg","N2PKMg","N4PKMg","N5PKMg","NP","NPK","PKMg","pred_N_UP_N1PKMg","pred_N_UP_N2PKMg","pred_N_UP_N4PKMg","pred_N_UP_N5PKMg","pred_N_UP_PKMg","pred_N_UP_Control","pred_N_UP_N","pred_N_UP_NP","pred_N_UP_NPK","pred_N_UP_FYMNPK","pred_N_UP_FYM"
"1",1968,"wheat",37.3038267685497,128.985968468337,170.931504579666,91.4617564104819,75.1357902024161,113.557407382319,111.075500301944,130.228953296833,94.8486867214644,114.978287475164,41.2418837096668,77.0354660609354,112.149648026358,112.149648026358,145.573523363379,41.2418837191157,41.2040146724726,103.412034300446,103.406955373969,112.149648026358,169.503915673937,127.706578748035
"2",1969,"potato",34.6419853981533,100.495647159491,92.761219175429,37.0059469982806,66.3910555248998,89.1272005836234,86.7659697240319,74.7693996738319,44.0697910034447,70.6286218189712,42.9386943492121,74.4680267310048,101.324541951793,101.324541951793,123.242574188355,42.9387011759239,41.3988782042218,68.9752622915533,90.8883359021686,101.324541951793,111.460814217877,104.262088468602
"3",1970,"beans",76.6071348759929,134.619600542649,105.862821875988,66.8851210982089,121.693629209321,123.68567276488,105.937116320436,127.10115509821,42.7961152093294,110.63250076488,122.341979875989,122.301517701373,123.427917590214,123.427917590214,124.777419028966,121.580779452239,102.325922827961,101.046724065992,100.077969913854,123.427917590214,139.046203129143,139.501908480008
"4",1971,"wheat",37.4051794970405,129.087321196828,171.032857308157,91.5631091389727,75.2371429309069,113.65876011081,111.176853030435,130.330306025324,94.9500394499553,115.079640203655,41.3432364381577,76.4795511435476,110.760233133139,110.760233133139,143.363979789756,41.3432363226527,41.2451348573503,101.175549313613,100.88018774686,110.760233133139,170.402973262712,131.334645355097
"5",1972,"potato",32.8244426833503,98.6781044446872,90.943676460626,35.1884042834775,64.5735128100976,87.3096578688194,84.948427009228,72.9518569590289,42.2522482886417,68.8110791041672,41.12115163441,70.1457684265055,95.6084652387849,95.6084652387849,117.058243049636,41.1212459838711,39.7971124251849,67.4937403985246,84.72548821435,95.6084652387849,121.018086299749,116.697947210945
"6",1973,"beans",80.9616048893672,138.974070556023,110.217291889362,71.2395911115832,126.048099222695,128.040142778254,110.291586333811,131.455625111585,47.1505852227037,114.986970778254,126.696449889364,125.347229155834,125.741732460249,125.741732460249,126.461613176996,125.572519210767,102.315809646138,100.048670500339,98.6976398353792,125.741732460249,140.869125785416,139.972493635396
"7",1974,"wheat",37.5065322255314,129.188673925319,171.134210036648,91.6644618674635,75.3384956593978,113.760112839301,111.278205758926,130.431658753814,95.0513921784461,115.180992932145,41.4445891666485,75.9236720327638,109.530739247329,109.530739247329,141.515574635254,41.4445886636073,41.3007639998451,99.4939460387905,99.1123457464021,109.530739247329,167.996718480404,130.613496347461
"8",1975,"potato",31.0068999685477,96.8605617298851,89.1261337458239,33.3708615686749,62.7559700952946,85.4921151540173,83.1308842944259,71.1343142442259,40.4347055738391,66.9935363893651,39.3036089196069,65.7199435352073,89.5611242625438,89.5611242625438,110.155365706044,39.3036138105202,38.2002257944941,65.4215738762739,79.3813688124328,89.5611242625438,98.5242822080284,93.8425008884316
"9",1976,"beans",85.3160749027415,143.328540569397,114.571761902736,75.5940611249575,130.40256923607,132.394612791628,114.646056347185,135.810095124959,51.5050552360781,119.341440791628,131.050919902738,128.580096463918,128.244195751349,128.244195751349,128.336773406221,129.651281062359,102.64821020249,99.465183525956,97.9079698819231,128.244195751349,140.430544483169,138.181423323254
"10",1977,"wheat",37.6078849540218,129.290026653809,171.235562765139,91.7658145959539,75.4398483878881,113.861465567791,111.379558487416,130.533011482305,95.1527449069365,115.282345660636,41.5459418951389,75.3691034954116,108.359813054353,108.359813054353,139.788495831224,41.5459413372842,41.3634494161138,98.0154326192219,97.6002928967771,108.359813054353,177.075878117631,141.052572058587
"11",1978,"potato",29.1893572537451,95.0430190150825,87.3085910310204,31.5533188538723,60.938427380492,83.6745724392147,81.3133415796233,69.3167715294242,38.6171628590365,65.1759936745625,37.4860662048044,61.170719449087,83.1888735005503,83.1888735005503,102.628180959536,37.4860659187965,36.5872583676879,62.9048409258514,74.1500203438965,83.1888735005503,102.965202126376,99.3307177791226
"12",1979,"potato",28.5835096821438,94.4371714434812,86.7027434594191,30.947471282271,60.3325798088907,83.0687248676134,80.707494008022,68.7109239578229,38.0113152874352,64.5701461029612,36.880218633203,59.6351550173921,81.0898861544103,81.0898861544103,100.224483687826,36.8802204234309,36.0998623118773,62.5883900819756,70.9740801507441,81.0898861544103,85.7678287330972,82.0934878139374
"13",1980,"wheat",37.7092376825126,129.3913793823,171.336915493629,91.8671673244448,75.541201116379,113.962818296282,111.480911215907,130.634364210796,95.2540976354273,115.383698389127,41.6472946236297,74.8058815500831,106.871187326685,106.871187326685,137.266063715731,41.6472914049247,41.3108798798349,94.9145975077469,94.1442023337694,106.871187326685,162.302458736058,127.216634818145
"14",1982,"potato",26.7659669673408,92.6196287286782,84.8852007446169,29.129928567468,58.5150370940877,81.2511821528104,78.8899512932189,66.8933812430189,36.1937725726321,62.7526033881581,35.0626759184,54.9696152581614,74.1511885609347,74.1511885609347,91.5401770955499,35.0626870500842,34.5987504846105,60.804395677667,67.3413549773255,74.1511885609347,90.0528227150972,88.0307941468254
"15",1983,"wheat",37.8105904110034,129.492732110791,171.43826822212,91.9685200529356,75.6425538448698,114.064171024773,111.582263944398,130.735716939287,95.3554503639182,115.485051117617,41.7486473521206,74.255023207295,105.776927295044,105.776927295044,135.668695236295,41.7486144997694,41.4633227772826,94.757232364965,94.1481727642698,105.776927295044,148.471609407758,114.259096067348
"16",1985,"potato",24.9484242525377,90.8020860138751,83.067658029813,27.312385852665,56.6974943792846,79.4336394380073,77.0724085784159,65.0758385282168,34.3762298578291,60.9350606733551,33.245133203597,50.2940677162957,67.0935709542833,67.0935709542833,82.6806038460724,33.245131776062,32.9285970785074,56.97436532057,62.0558850553438,67.0935709542833,78.5228972949533,77.6712716938479
"17",1986,"wheat",28.971268680039,120.344118581725,208.670738269233,92.549424503441,64.0932492365537,103.343028441201,108.326687481572,191.336957517882,90.2100626553749,108.664851931764,28.7770084956271,70.1589900444132,110.328772564247,110.328772564247,216.318482493409,28.7770581504364,28.7770145075973,97.9361743752689,97.2816131153214,110.328772564247,219.567768022201,136.890981011438
"18",1987,"wheat",29.0050529228693,120.377902824555,208.704522512064,92.5832087462713,64.127033479384,103.376812684032,108.360471724402,191.370741760713,90.2438468982052,108.698636174594,28.8107927384574,69.9743460073033,110.153929755749,110.153929755749,216.997293406927,28.8108301894265,28.8107949766837,98.0263023639229,97.5203950494344,110.153929755749,204.194117032224,121.369179854624
"19",1988,"wheat",29.0388371656991,120.411687067385,208.738306754893,92.6169929891011,64.1608177222138,103.410596926862,108.394255967232,191.404526003543,90.277631141035,108.732420417424,28.8445769812872,69.7893866425017,109.900029203281,109.900029203281,217.133113672012,28.8445754014252,28.8445757098231,97.9484516490332,97.5330515775957,109.900029203281,196.629731957841,114.517751271975
"20",1990,"potato",12.9785119350781,78.5228818983134,117.169537490432,24.7626997166752,42.0175991844734,65.5819062679405,70.6862415290952,122.546488520316,26.1002515627907,50.9842709010063,17.1429037606084,38.9547444269154,60.7270321055377,60.7270321055377,116.453812934257,17.1429101165967,17.1429093362338,52.819369479498,57.0415266089428,60.7270321055377,106.646000064443,90.2224234133574
"21",1991,"wheat",29.1401898941899,120.513039795876,208.839659483384,92.7183457175919,64.2621704507047,103.511949655352,108.495608695723,191.505878732033,90.3789838695259,108.833773145915,28.9459297097781,69.2343761021078,108.599193168962,108.599193168962,213.08195860647,28.9459418987063,28.9459544421369,96.2182727736258,95.6261372750187,108.599193168962,215.583775236681,136.463845061809
"22",1992,"wheat",29.1739741370202,120.546824038706,208.873443726215,92.7521299604222,64.2959546935349,103.545733898183,108.529392938553,191.539662974864,90.4127681123561,108.867557388745,28.9797139526083,69.0493366141575,108.351500116889,108.351500116889,213.412760880642,28.9797470056188,28.9797606183479,96.1747890108879,95.6951349036284,108.351500116889,181.989694951068,101.870094941618
"23",1993,"wheat",29.2077583798505,120.580608281536,208.907227969045,92.7859142032525,64.3297389363652,103.579518141013,108.563177181384,191.573447217694,90.4465523551864,108.901341631575,29.0134981954386,68.8643635726567,108.054028844015,108.054028844015,213.334431864991,29.0134893878666,29.0133994768831,96.0119328865311,95.6035241096642,108.054028844015,213.485539904395,135.979496491661
"24",1995,"potato",9.94927407707382,75.4936440403091,114.140299632427,21.7334618586709,38.9883613264682,62.5526684099362,67.6570036710909,119.517250662312,23.0710137047859,47.955033043002,14.1136659026032,31.1614611554898,48.2093332773841,48.2093332773841,95.8450832969439,14.113676801289,14.1136659165002,44.475042679986,46.6207825453858,48.2093332773841,86.9007769280894,73.6639389060866
"25",1996,"wheat",29.3091111083413,120.681961010027,209.008580697536,92.8872669317433,64.4310916648561,103.680870869504,108.664529909875,191.674799946185,90.5479050836773,109.002694360066,29.1148509239295,68.3090255512719,106.79066194759,106.79066194759,209.172656010729,29.1148782702775,29.1148509436082,94.1606049420415,93.6346864053701,106.79066194759,206.614254582249,131.247532265828
