"","time","P_labile","P_stable","P_labile_placed","P_labile_FYM","K_labile","K_stable","K_labile_FYM","N_up","P_up","K_up","PIN","POUT","KIN","KOUT","P_up_labile","P_up_labile_placed","P_up_labile_FYM"
"1",1968,125.046975131296,2621.29596324629,0,0,357.084118096088,3689.67187108399,0,0,0,0,0,0,0,0,13.5576839667571,0,0
"2",1968,125.046975131296,2621.29596324629,0,0,357.084118096088,3689.67187108399,0,0,0,0,0,0,0,0,13.5576839667571,0,0
"3",1968,125.046975131296,2621.29596324629,0,0,357.084118096088,3689.67187108399,0,0,0,0,0,0,0,0,13.5576839667571,0,0
"4",1968.00273972603,124.989911171063,2621.3158848765,0,0,357.075631934281,3689.61389170529,0,0.283506729670409,0.0371423300229017,0.0664655405078511,0,0.0371423300229017,0,0.0664655405078511,13.5562237309653,0,0
"5",1968.00273972603,124.989911171063,2621.3158848765,0,0,357.075631934281,3689.61389170529,0,0.283506729670409,0.0371423300229017,0.0664655405078511,0,0.0371423300229017,0,0.0664655405078511,13.5562237309653,0,0
"6",1968.00273972603,124.989911171063,2621.3158848765,0,0,357.075631934281,3689.61389170529,0,0.283506729670409,0.0371423300229017,0.0664655405078511,0,0.0371423300229017,0,0.0664655405078511,13.5562237309653,0,0
"7",1968.00273972603,124.989911171063,2621.3158848765,0,0,357.075631934281,3689.61389170529,0,0.283506729670409,0.0371423300229017,0.0664655405078511,0,0.0371423300229017,0,0.0664655405078511,13.5562237309653,0,0
"8",1968.00273972603,124.989911171063,2621.3158848765,0,0,357.075631934281,3689.61389170529,0,0.283506729670409,0.0371423300229017,0.0664655405078511,0,0.0371423300229017,0,0.0664655405078511,13.5562237309653,0,0
"9",1968.00273972603,124.989911171063,2621.3158848765,0,0,357.075631934281,3689.61389170529,0,0.283506729670409,0.0371423300229017,0.0664655405078511,0,0.0371423300229017,0,0.0664655405078511,13.5562237309653,0,0
"10",1968.20273972603,121.142809890807,2622.46261841747,0,0,356.463593608321,3685.37794219613,0,20.9764569925376,2.73751006931528,4.9144533756297,0,2.73751006931528,0,4.9144533756297,13.4467085646112,0,0
"11",1968.20273972603,149.142809890807,2629.46261841747,0,0,356.463593608321,3685.37794219613,0,20.9764569925376,2.73751006931528,4.9144533756297,35,2.73751006931528,0,4.9144533756297,13.6789301756677,0,0
"12",1968.20273972603,149.142809890807,2629.46261841747,0,0,356.463593608321,3685.37794219613,0,20.9764569925376,2.73751006931528,4.9144533756297,35,2.73751006931528,0,4.9144533756297,13.6789301756677,0,0
"13",1968.20273972603,149.142809890807,2629.46261841747,0,0,356.463593608321,3685.37794219613,0,20.9764569925376,2.73751006931528,4.9144533756297,35,2.73751006931528,0,4.9144533756297,13.6789301756677,0,0
"14",1968.20273972603,149.142809890807,2629.46261841747,0,0,356.463593608321,3685.37794219613,0,20.9764569925376,2.73751006931528,4.9144533756297,35,2.73751006931528,0,4.9144533756297,13.6789301756677,0,0
"15",1968.20273972603,149.142809890807,2629.46261841747,0,0,356.463593608321,3685.37794219613,0,20.9764569925376,2.73751006931528,4.9144533756297,35,2.73751006931528,0,4.9144533756297,13.6789301756677,0,0
"16",1968.20273972603,149.142809890807,2629.46261841747,0,0,356.463593608321,3685.37794219613,0,20.9764569925376,2.73751006931528,4.9144533756297,35,2.73751006931528,0,4.9144533756297,13.6789301756677,0,0
"17",1969,126.040065803427,2641.71651013221,0,0,354.153544096518,3668.43786534907,0,103.406955373969,13.5863624419487,24.1645797344944,35,13.5863624419487,0,24.1645797344944,11.6493403180247,0,0
"18",1969,126.040065803427,2641.71651013221,0,0,354.153544096518,3668.43786534907,0,0,0,0,35,13.5863624419487,0,24.1645797344944,11.6493403180247,0,0
"19",1969,126.040065803427,2641.71651013221,0,0,354.153544096518,3668.43786534907,0,0,0,0,35,13.5863624419487,0,24.1645797344944,11.6493403180247,0,0
"20",1969.00273972603,125.988034811626,2641.73663150917,0,0,354.016325672555,3668.3794854118,0,0.253875687446167,0.0319096148467119,0.195598361234423,35,13.6182720567954,0,24.3601780957289,11.6446666893199,0,0
"21",1969.00273972603,125.988034811626,2641.73663150917,0,0,354.016325672555,3668.3794854118,0,0.253875687446167,0.0319096148467119,0.195598361234423,35,13.6182720567954,0,24.3601780957289,11.6446666893199,0,0
"22",1969.00273972603,125.988034811626,2641.73663150917,0,0,354.016325672555,3668.3794854118,0,0.253875687446167,0.0319096148467119,0.195598361234423,35,13.6182720567954,0,24.3601780957289,11.6446666893199,0,0
"23",1969.00273972603,125.988034811626,2641.73663150917,0,0,354.016325672555,3668.3794854118,0,0.253875687446167,0.0319096148467119,0.195598361234423,35,13.6182720567954,0,24.3601780957289,11.6446666893199,0,0
"24",1969.00273972603,125.988034811626,2641.73663150917,0,0,354.016325672555,3668.3794854118,0,0.253875687446167,0.0319096148467119,0.195598361234423,35,13.6182720567954,0,24.3601780957289,11.6446666893199,0,0
"25",1969.00273972603,125.988034811626,2641.73663150917,0,0,354.016325672555,3668.3794854118,0,0.253875687446167,0.0319096148467119,0.195598361234423,35,13.6182720567954,0,24.3601780957289,11.6446666893199,0,0
"26",1969.20273972603,122.502498654649,2642.92574934923,0,0,344.458809630648,3663.85203902798,0,18.7111070225704,2.32832793176156,14.2805607869616,35,15.9146903737103,0,38.4451405214561,11.3271004092468,0,0
"27",1969.20273972603,150.502498654649,2649.92574934923,0,0,344.458809630648,3663.85203902798,0,18.7111070225704,2.32832793176156,14.2805607869616,70,15.9146903737103,0,38.4451405214561,12.659146018826,0,0
"28",1969.20273972603,150.502498654649,2649.92574934923,0,0,344.458809630648,3663.85203902798,0,18.7111070225704,2.32832793176156,14.2805607869616,70,15.9146903737103,0,38.4451405214561,12.659146018826,0,0
"29",1969.20273972603,150.502498654649,2649.92574934923,0,0,344.458809630648,3663.85203902798,0,18.7111070225704,2.32832793176156,14.2805607869616,70,15.9146903737103,0,38.4451405214561,12.659146018826,0,0
"30",1969.20273972603,150.502498654649,2649.92574934923,0,0,344.458809630648,3663.85203902798,0,18.7111070225704,2.32832793176156,14.2805607869616,70,15.9146903737103,0,38.4451405214561,12.659146018826,0,0
"31",1969.20273972603,150.502498654649,2649.92574934923,0,0,344.458809630648,3663.85203902798,0,18.7111070225704,2.32832793176156,14.2805607869616,70,15.9146903737103,0,38.4451405214561,12.659146018826,0,0
"32",1969.20273972603,150.502498654649,2649.92574934923,0,0,344.458809630648,3663.85203902798,0,18.7111070225704,2.32832793176156,14.2805607869616,70,15.9146903737103,0,38.4451405214561,12.659146018826,0,0
"33",1970,128.282797511658,2662.69253220389,0,0,314.044722018102,3641.41225912524,0,90.8883359021686,11.7812462200882,67.134428302239,70,25.3676086620369,0,91.2990080367334,9.1119382749314,0,0
"34",1970,128.282797511658,2662.69253220389,0,0,314.044722018102,3641.41225912524,0,0,0,0,70,25.3676086620369,0,91.2990080367334,9.1119382749314,0,0
"35",1970,128.282797511658,2662.69253220389,0,0,314.044722018102,3641.41225912524,0,0,0,0,70,25.3676086620369,0,91.2990080367334,9.1119382749314,0,0
"36",1970.00273972603,128.23497011931,2662.71539411205,0,0,314.075012016186,3641.32507824234,0,0.272318132106022,0.0249654841946893,0.056890884819628,70,25.3925741462316,0,91.355898921553,9.11286811390011,0,0
"37",1970.00273972603,128.23497011931,2662.71539411205,0,0,314.075012016186,3641.32507824234,0,0.272318132106022,0.0249654841946893,0.056890884819628,70,25.3925741462316,0,91.355898921553,9.11286811390011,0,0
"38",1970.00273972603,128.23497011931,2662.71539411205,0,0,314.075012016186,3641.32507824234,0,0.272318132106022,0.0249654841946893,0.056890884819628,70,25.3925741462316,0,91.355898921553,9.11286811390011,0,0
"39",1970.00273972603,128.23497011931,2662.71539411205,0,0,314.075012016186,3641.32507824234,0,0.272318132106022,0.0249654841946893,0.056890884819628,70,25.3925741462316,0,91.355898921553,9.11286811390011,0,0
"40",1970.00273972603,128.23497011931,2662.71539411205,0,0,314.075012016186,3641.32507824234,0,0.272318132106022,0.0249654841946893,0.056890884819628,70,25.3925741462316,0,91.355898921553,9.11286811390011,0,0
"41",1970.00273972603,128.23497011931,2662.71539411205,0,0,314.075012016186,3641.32507824234,0,0.272318132106022,0.0249654841946893,0.056890884819628,70,25.3925741462316,0,91.355898921553,9.11286811390011,0,0
"42",1970.20273972603,124.996943163138,2664.12426136617,0,0,316.188430913444,3635.04423844836,0,20.1832215339202,1.854125186244,4.2243117815411,70,27.2217338482809,0,95.5233198182745,9.17774561050521,0,0
"43",1970.20273972603,152.996943163138,2671.12426136617,0,0,316.188430913444,3635.04423844836,0,20.1832215339202,1.854125186244,4.2243117815411,105,27.2217338482809,0,95.5233198182745,9.17774561050521,0,0
"44",1970.20273972603,152.996943163138,2671.12426136617,0,0,316.188430913444,3635.04423844836,0,20.1832215339202,1.854125186244,4.2243117815411,105,27.2217338482809,0,95.5233198182745,9.17774561050521,0,0
"45",1970.20273972603,152.996943163138,2671.12426136617,0,0,316.188430913444,3635.04423844836,0,20.1832215339202,1.854125186244,4.2243117815411,105,27.2217338482809,0,95.5233198182745,9.17774561050521,0,0
"46",1970.20273972603,152.996943163138,2671.12426136617,0,0,316.188430913444,3635.04423844836,0,20.1832215339202,1.854125186244,4.2243117815411,105,27.2217338482809,0,95.5233198182745,9.17774561050521,0,0
"47",1970.20273972603,152.996943163138,2671.12426136617,0,0,316.188430913444,3635.04423844836,0,20.1832215339202,1.854125186244,4.2243117815411,105,27.2217338482809,0,95.5233198182745,9.17774561050521,0,0
"48",1970.20273972603,152.996943163138,2671.12426136617,0,0,316.188430913444,3635.04423844836,0,20.1832215339202,1.854125186244,4.2243117815411,105,27.2217338482809,0,95.5233198182745,9.17774561050521,0,0
"49",1971,131.570689637006,2685.14597322113,0,0,322.919307370298,3611.45747794092,0,100.077969913854,9.25866685741771,21.0801958321278,105,34.6262755194546,0,112.379203868861,12.3186338940719,0,0
"50",1971,131.570689637006,2685.14597322113,0,0,322.919307370298,3611.45747794092,0,0,0,0,105,34.6262755194546,0,112.379203868861,12.3186338940719,0,0
"51",1971,131.570689637006,2685.14597322113,0,0,322.919307370298,3611.45747794092,0,0,0,0,105,34.6262755194546,0,112.379203868861,12.3186338940719,0,0
"52",1971.00273972603,131.509321913453,2685.17359031682,0,0,322.93644030948,3611.37996047997,0,0.275953534098647,0.0337506278634249,0.0603845217646192,105,34.660026147318,0,112.439588390626,12.3193286733048,0,0
"53",1971.00273972603,131.509321913453,2685.17359031682,0,0,322.93644030948,3611.37996047997,0,0.275953534098647,0.0337506278634249,0.0603845217646192,105,34.660026147318,0,112.439588390626,12.3193286733048,0,0
"54",1971.00273972603,131.509321913453,2685.17359031682,0,0,322.93644030948,3611.37996047997,0,0.275953534098647,0.0337506278634249,0.0603845217646192,105,34.660026147318,0,112.439588390626,12.3193286733048,0,0
"55",1971.00273972603,131.509321913453,2685.17359031682,0,0,322.93644030948,3611.37996047997,0,0.275953534098647,0.0337506278634249,0.0603845217646192,105,34.660026147318,0,112.439588390626,12.3193286733048,0,0
"56",1971.00273972603,131.509321913453,2685.17359031682,0,0,322.93644030948,3611.37996047997,0,0.275953534098647,0.0337506278634249,0.0603845217646192,105,34.660026147318,0,112.439588390626,12.3193286733048,0,0
"57",1971.00273972603,131.509321913453,2685.17359031682,0,0,322.93644030948,3611.37996047997,0,0.275953534098647,0.0337506278634249,0.0603845217646192,105,34.660026147318,0,112.439588390626,12.3193286733048,0,0
