"","Dataset","Season","Crop","Treatment","Measured_N_Uptake.kg.ha","Measured_P_Uptake.kg.ha","Measured_K_Uptake.kg.ha","Predicted_N_Uptake.kg.ha","Predicted_P_Uptake.kg.ha","Predicted_K_Uptake.kg.ha","P_labile","P_stable","P_labile_placed","P_labile_FYM","K_labile","K_stable","K_labile_FYM","cols","pchs"
"1","Broadbalk_LMpred_BBalk_",1968,"wheat","N1PKMg",75.1357902024161,16.7760585245354,50.9076911421982,77.0354660609354,16.4780075957689,49.3399371137635,131.555377192317,2728.31537157691,0,0,903.325014311824,6583.28681169424,0,"lightgreen",1
"2","Broadbalk_LMpred_BBalk_",1969,"potato","N1PKMg",66.3910555248998,16.1818925885319,151.82292109339,74.4680267310048,13.320242660069,143.885847155504,131.555377192317,2728.31537157691,0,0,903.325014311824,6583.28681169424,0,"lightgreen",1
"3","Broadbalk_LMpred_BBalk_",1970,"beans","N1PKMg",121.693629209321,14.9545390342414,65.2003012787807,122.301517701373,15.8784394932339,51.7048062045567,131.555377192317,2728.31537157691,0,0,903.325014311824,6583.28681169424,0,"lightgreen",1
"4","Broadbalk_LMpred_BBalk_",1971,"wheat","N1PKMg",75.2371429309069,16.5549431952928,49.0324407037307,76.4795511435476,16.4311237091866,47.2909651302965,129.585008071674,2748.80773310178,0,0,899.593569547941,6627.67831934436,0,"lightgreen",1
"5","Broadbalk_LMpred_BBalk_",1972,"potato","N1PKMg",64.5735128100976,15.2746391798528,145.202851719121,70.1457684265055,13.2058653901139,136.488593855702,129.585008071674,2748.80773310178,0,0,899.593569547941,6627.67831934436,0,"lightgreen",1
"6","Broadbalk_LMpred_BBalk_",1973,"beans","N1PKMg",126.048099222695,14.7588807688728,62.477231155646,125.347229155834,16.3476119551223,50.8640531335449,129.585008071674,2748.80773310178,0,0,899.593569547941,6627.67831934436,0,"lightgreen",1
"7","Broadbalk_LMpred_BBalk_",1974,"wheat","N1PKMg",75.3384956593978,16.3338278660503,47.1571902652636,75.9236720327638,16.4807290210189,46.6460422455196,131.335644967636,2768.73685354575,0,0,815.834768104775,6657.55127363202,0,"lightgreen",1
"8","Broadbalk_LMpred_BBalk_",1975,"potato","N1PKMg",62.7559700952946,14.3673857711737,138.582782344853,65.7199435352073,13.085946285722,131.721667725206,131.335644967636,2768.73685354575,0,0,815.834768104775,6657.55127363202,0,"lightgreen",1
"9","Broadbalk_LMpred_BBalk_",1976,"beans","N1PKMg",130.40256923607,14.5632225035041,59.7541610325115,128.580096463918,16.81559586407,50.9979707865817,131.335644967636,2768.73685354575,0,0,815.834768104775,6657.55127363202,0,"lightgreen",1
"10","Broadbalk_LMpred_BBalk_",1977,"wheat","N1PKMg",75.4398483878881,16.1127125368078,45.2819398267962,75.3691034954116,16.5289450673536,46.4953331111856,130.818393020699,2788.37566599945,0,0,833.511780144824,6678.16945538741,0,"lightgreen",1
"11","Broadbalk_LMpred_BBalk_",1978,"potato","N1PKMg",60.938427380492,13.4601323624945,131.962712970584,61.170719449087,12.8929153026927,127.195018217878,130.818393020699,2788.37566599945,0,0,833.511780144824,6678.16945538741,0,"lightgreen",1
"12","Broadbalk_LMpred_BBalk_",1979,"potato","N1PKMg",60.3325798088907,13.1577145596015,129.756023179161,59.6351550173921,12.8946245592965,122.332481782806,130.818393020699,2788.37566599945,0,0,833.511780144824,6678.16945538741,0,"lightgreen",1
"13","Broadbalk_LMpred_BBalk_",1980,"wheat","N1PKMg",75.541201116379,15.8915972075652,43.406689388329,74.8058815500831,16.6694511173979,44.6737088521751,130.645471872122,2807.11746343884,0,0,851.309017349487,6703.08125305245,0,"lightgreen",1
"14","Broadbalk_LMpred_BBalk_",1982,"potato","N1PKMg",58.5150370940877,12.2504611509223,123.135953804893,54.9696152581614,12.3615082138944,117.515413926273,130.645471872122,2807.11746343884,0,0,851.309017349487,6703.08125305245,0,"lightgreen",1
"15","Broadbalk_LMpred_BBalk_",1983,"wheat","N1PKMg",75.6425538448698,15.6704818783227,41.5314389498619,74.255023207295,16.6101980471295,44.8916636352498,130.645471872122,2807.11746343884,0,0,851.309017349487,6703.08125305245,0,"lightgreen",1
"16","Broadbalk_LMpred_BBalk_",1985,"potato","N1PKMg",56.6974943792846,11.3432077422433,116.515884430624,50.2940677162957,11.8785241611004,111.126392009327,133.261885591416,2826.29518432943,0,0,787.893041308408,6720.00863523783,0,"lightgreen",1
"17","Broadbalk_LMpred_BBalk_",1986,"wheat","N1PKMg",64.0932492365537,14.6382543640254,36.8235052297162,70.1589900444132,16.0681003052831,44.2587768696678,133.261885591416,2826.29518432943,0,0,787.893041308408,6720.00863523783,0,"lightgreen",1
"18","Broadbalk_LMpred_BBalk_",1987,"wheat","N1PKMg",64.127033479384,14.5645492542779,36.1984217502272,69.9743460073033,16.0494621314429,45.2462758196932,133.261885591416,2826.29518432943,0,0,787.893041308408,6720.00863523783,0,"lightgreen",1
"19","Broadbalk_LMpred_BBalk_",1988,"wheat","N1PKMg",64.1608177222138,14.4908441445304,35.5733382707381,69.7893866425017,16.0384716429396,45.9243563239468,132.731825338674,2845.47763262705,0,0,814.899358809065,6732.13826460363,0,"lightgreen",1
